review,sentiment_label
This was an awesome buy. I bought this phone for my father who was upgrading from an iPhone 6. He is very happy with this phone. The size is really good. He said that it was even more comfortable to hold than the 6 as it had flat sides. It is Smaller than most android phones but big enough for anything and everything.The performance is Stellar. You won't notice any lag and it's very fast. Ram management is good too. And the phone stays at a reasonable temperature even when using Gmaps. Th...READ MORE,positive
Premium product👍READ MORE,positive
SuperREAD MORE,positive
"1. First and foremost - The early delivery of Flipkart - The products arrived two days early as expected. 2. First-time IOS user - IOS is superfast3. Built Quality - Excellent4. Display - LED - Excellent5. Photos - Wide-angle - Excellent,  Portrait - Excellent, Panorama - Excellent6. Video - Slowmotion 1080 to 240fps - Excellent, Video 4k @ 64 fps7. In-hand feel - Excellent8. As a status symbol - APPLE no wordsI have purchased in an offer so got it at a reasonable rate. Overall thank...READ MORE",positive
Best smartphone under 60kREAD MORE,positive
Very good phoneREAD MORE,positive
Very good Smartphone . Best performance and battery beck up is still impressive with low MAH. Sharp camera. Camera is wow. Without camera setting and knowledge you don’t take batter Photo. I Uploaded camera picture in day and night time at same location.READ MORE,positive
Quality Product❤️🔥READ MORE,positive
Great looks and awesome in-hand feelREAD MORE,positive
"I bought this iphone 12 in big billion days and saved alot thank you so much Flipkart for this amazing deal. The phone is great and has perfect camera, security and performance is ver good of this  phone. No lack at all.Battery backup is good you can spend a single day without charging it.Size is perfect as iPhone 11 has same screen size but diffcult to carry but this device is light and perfect in size.I give 4 star because they don’t other accessories now with iPhone.READ MORE",positive
"Excellent phone, positives are clean OS excellent camera and beautiful display overall satisfied and happy to move from android to IOSREAD MORE",positive
This was my second iphone after the xr and i can say there’s a lot of difference in day to day tasks. First of all here are some pros• Amazing camera with very good nightmode. • Performance is top notch. • No heating issue like other phones while performing daily   tasks. • The design is very handy and gives a premium feel in hand. Now the cons• Battery is sufficient but could be better but it’s ok for a medium user. • only one con bro that’s iphone there’s no complaint 😎.READ MORE,positive
NiceREAD MORE,positive
